original,normalized,count
MM-Relevance,MM RELEVANCE,3
MMHal-Bench,MMHAL BENCH,3
MRR@5,MRR,3
MSTTR,MSTTR,3
Macro Precision,PRECISION,3
Macro Recall,RECALL,3
Macro-Precision,PRECISION,3
Macro-Recall,RECALL,3
Matthews correlation coefficient,MATTHEWS CORRELATION COEFFICIENT,3
Mauve,MAUVE,3
Mean Accuracy,ACCURACY,3
Mean Reciprocal Rank (MRR),RECIPROCAL RANK MRR,3
Memorization Accuracy,MEMORIZATION ACCURACY,3
Memory Usage,MEMORY USAGE,3
Model Utility,MODEL UTILITY,3
Morgan FTS,MORGAN FTS,3
Multi-hop Accuracy,MULTI HOP ACCURACY,3
NE,NE,3
NPMI,NPMI,3
Node Precision,NODE PRECISION,3
Node Recall,NODE RECALL,3
Normalized Mutual Information,NORMALIZED MUTUAL INFORMATION,3
Novel n-grams,NOVEL N GRAMS,3
OP,OP,3
P-SP,P SP,3
P@10,P,3
P@K,P,3
PCC,PCC,3
Pairwise-BLEU,PAIRWISE BLEU,3
ParaScore,PARASCORE,3
Partial Match,PARTIAL MATCH,3
Pass@K,PASS,3
Pearson r,PEARSON,3
Percentage Agreement,PERCENTAGE AGREEMENT,3
Phoneme Error Rate,PHONEME ERROR RATE,3
Preference Score,PREFERENCE,3
Progress Rate,PROGRESS RATE,3
Prometheus,PROMETHEUS,3
QAFACTEVAL,QAFACTEVAL,3
Quadratic Weighted Kappa (QWK),QUADRATIC KAPPA QWK,3
R-precision,R PRECISION,3
R@2,R,3
RDK FTS,RDK FTS,3
ROSCOE,ROSCOE,3
ROUGE-2,ROUGE,3
ROUGE-S,ROUGE,3
RQUGE,RQUGE,3
Rank,RANK,3
Readability,READABILITY,3
Reasoning Accuracy,REASONING ACCURACY,3
Recall-5,RECALL,3
Recall@1000,RECALL,3
Reconstruction Accuracy,RECONSTRUCTION ACCURACY,3
Refusal rate,REFUSAL RATE,3
Relation Generation,RELATION GENERATION,3
Relative Improvement,RELATIVE IMPROVEMENT,3
Response Quality,RESPONSE QUALITY,3
RewardBench,REWARDBENCH,3
S+WMS,S+WMS,3
S-ACC,S ACC,3
SBERT cosine similarity,SBERT COSINE SIMILARITY,3
SEMQA,SEMQA,3
SODA_c,SODA,3
SOME,SOME,3
SPK,SPK,3
Semantic Textual Similarity,SEMANTIC TEXTUAL SIMILARITY,3
Sent-BERT,SENT BERT,3
Sentence Mover's Similarity,SENTENCE MOVER S SIMILARITY,3
Sentence Similarity,SENTENCE SIMILARITY,3
Sentence length,SENTENCE LENGTH,3
Sentence-BERT similarity,SENTENCE BERT SIMILARITY,3
SentenceBERT,SENTENCE BERT,3
Sequence Accuracy,SEQUENCE ACCURACY,3
SkipThoughts,SKIPTHOUGHTS,3
Spearman's rank correlation coefficient,SPEARMAN S RANK CORRELATION COEFFICIENT,3
Standard Deviation,STANDARD DEVIATION,3
StartOffset,STARTOFFSET,3
Step Accuracy,STEP ACCURACY,3
StrongREJECT,STRONGREJECT,3
Success rate,SUCCESS RATE,3
Surprisal,SURPRISAL,3
Syntax Error Rate,SYNTAX ERROR RATE,3
TEDS,TEDS,3
TIGERScore,TIGERSCORE,3
TPR@FPR,TPR@FPR,3
Task Accuracy,TASK ACCURACY,3
Task Score,TASK,3
Text Length,TEXT LENGTH,3
Text2Mol,TEXT2MOL,3
Textual Entailment,TEXTUAL ENTAILMENT,3
Token Consumption,TOKEN CONSUMPTION,3
Token Efficiency,TOKEN EFFICIENCY,3
Token Length,TOKEN LENGTH,3
Token Probability,TOKEN PROBABILITY,3
Token-F1,TOKEN F1,3
Topic Diversity,TOPIC DIVERSITY,3
Tree Accuracy,TREE ACCURACY,3
Turns,TURNS,3
UER,UER,3
UMLS-F1,UMLS F1,3
USR-DR,USR DR,3
Unique n-grams,UNIQUE N GRAMS,3
Utility,UTILITY,3
VADER,VADER,3
VQA accuracy,VQA ACCURACY,3
Verbosity,VERBOSITY,3
Verifiability,VERIFIABILITY,3
Violation Rate,VIOLATION RATE,3
Word Count,WORD COUNT,3
Word-level F1,WORD LEVEL F1,3
XCOMET-XL,XCOMET XL,3
XNLI,XNLI,3
YiSi,YISI,3
YiSi-1,YISI,3
YiSi-2,YISI,3
Zero-shot Accuracy,ZERO SHOT ACCURACY,3
chrF2,CHRF2,3
diversity,DIVERSITY,3
faithfulness,FAITHFULNESS,3
hallucination rate,HALLUCINATION RATE,3
inference time,INFERENCE TIME,3
label accuracy,LABEL ACCURACY,3
loss,LOSS,3
normalized score,NORMALIZED,3
novel n-grams,NOVEL N GRAMS,3
novelty,NOVELTY,3
pass@N,PASS@N,3
permutation test,PERMUTATION TEST,3
program accuracy,PROGRAM ACCURACY,3
ref-BLEU,REF BLEU,3
rep-n,REP,3
sBLIMP,SBLIMP,3
sWUGGY,SWUGGY,3
semantic similarity,SEMANTIC SIMILARITY,3
similarity,SIMILARITY,3
str-em,STR EM,3
top-1 accuracy,TOP 1 ACCURACY,3
type-token ratio,TYPE TOKEN RATIO,3
z-score,Z,3
ABX,ABX,2
AC,AC,2
ACC-eq,ACC EQ,2
ACE,ACE,2
ACU,ACU,2
AIC,AIC,2
ALTI,ALTI,2
AR,AR,2
ATGR,ATGR,2
AZPT,AZPT,2
Abstain Accuracy,ABSTAIN ACCURACY,2
Abstain Precision,ABSTAIN PRECISION,2
Abstain Recall,ABSTAIN RECALL,2
Abstention Rate,ABSTENTION RATE,2
Abstractiveness,ABSTRACTIVENESS,2
Abstractivity,ABSTRACTIVITY,2
Accuracy@n,ACCURACY@N,2
Active Units,ACTIVE UNITS,2
Adding Mistakes,ADDING MISTAKES,2
AlignBench,ALIGNBENCH,2
Alignment Error Rate,ALIGNMENT ERROR RATE AER,2
AlpacaEval Score,ALPACAEVAL,2
AlpacaEval2,ALPACAEVAL,2
Answer Change Rate,ANSWER CHANGE RATE,2
Answer Rate,ANSWER RATE,2
Answer Relevance,ANSWER RELEVANCE,2
Answer Relevancy,ANSWER RELEVANCE,2
Arena Hard,ARENA HARD,2
Arg-C F1,ARG C F1,2
Arg-I F1,ARG I F1,2
Arg@1,ARG,2
Argument Quality,ARGUMENT QUALITY,2
Attack success rate,ATTACK SUCCESS RATE ASR,2
Auto-J,AUTO,2
AutoACU,AUTOACU,2
AutoDQ,AUTODQ,2
Automated Readability Index,AUTOMATED READABILITY INDEX,2
Average Accuracy,ACCURACY,2
Average Deviation,DEVIATION,2
Average Goal Accuracy,GOAL ACCURACY,2
Average Indirect Effect,INDIRECT EFFECT,2
Average Latency (AL),LATENCY AL,2
Average Number of Queries,NUMBER OF QUERIES,2
Average Performance,PERFORMANCE,2
Average Proportion,PROPORTION,2
Average Rank,RANK,2
Average Relative Gain,RELATIVE GAIN,2
Average Sequence Length,SEQUENCE LENGTH,2
A³CU,A CU,2
BACC,BACC,2
BARTSCORE,BARTSCORE,2
BBQ,BBQ,2
BERT Cosine Similarity,BERT COSINE SIMILARITY,2
BERT-P,BERT,2
BERT-S,BERT,2
BLASER 2.0,BLASER,2
BLEC,BLEC,2
BLEURT-20,BLEURT,2
BOW,BOW,2
BOW Embedding,BOW EMBEDDING,2
BWT,BWT,2
Back-Translation Accuracy,BACK TRANSLATION ACCURACY,2
Backward BLEU,BACKWARD BLEU,2
BaryScore,BARYSCORE,2
Best F1,BEST F1,2
Best-of-N,BEST OF,2
Bias Ratio,BIAS RATIO,2
BiasAmp,BIASAMP,2
Book,BOOK,2
Book Rate,BOOK RATE,2
BooookScore,BOOOOKSCORE,2
Breadth,BREADTH,2
Brier,BRIER,2
C-score,C,2
CAPTURE,CAPTURE,2
CE,CE,2
CEQ,CEQ,2
CKA,CKA,2
CLIP Similarity,CLIP SIMILARITY,2
CLIP score,CLIP,2
CND,CND,2
COMET-MQM,COMET MQM,2
CONSISTENCY,CONSISTENCY,2
CP,CP,2
CPR,CPR,2
CRS,CRS,2
CS,CS,2
CTER,CTER,2
CTRLEval,CTRLEVAL,2
CW,CW,2
CXMI,CXMI,2
C_V,C,2
CaRB,CARB,2
ChatGPT-DA,CHATGPT DA,2
Chi-square test,CHI SQUARED TEST,2
Citation Score,CITATION,2
Click Accuracy,CLICK ACCURACY,2
Cloze Accuracy,CLOZE ACCURACY,2
CoNLL F1,CONLL F1,2
Code-BLEU,CODEBLEU,2
Cognition Score,COGNITION,2
Collision Rate,COLLISION RATE,2
Combine,COMBINED,2
Combined,COMBINED,2
CometKiwi-XL,COMETKIWI XL,2
Command Accuracy,COMMAND ACCURACY,2
Compactness,COMPACTNESS,2
Compatibility,COMPATIBILITY,2
Complexity,COMPLEXITY,2
Compliance Rate,COMPLIANCE RATE,2
Compliance Ratio,COMPLIANCE RATE,2
CompreCap,COMPRECAP,2
Compression,COMPRESSION,2
Confidence Level (CL),CONFIDENCE LEVEL CL,2
Confusion matrix,CONFUSION MATRIX,2
Consistency Rate,CONSISTENCY RATE,2
Constraint Satisfaction,CONSTRAINT SATISFACTION,2
Constraint Satisfaction Rate (CSR),CONSTRAINT SATISFACTION RATE CSR,2
Content Ordering,CONTENT ORDERING,2
Content Ordering (CO),CONTENT ORDERING,2
Content Similarity,CONTENT SIMILARITY,2
Context Relevance,CONTEXT RELEVANCE,2
Contradict@1,CONTRADICT,2
Contradiction,CONTRADICTION,2
Correct (CO),CORRECT CO,2
Correlation Coefficient,CORRELATION COEFFICIENT,2
Cosine Similarity (GloVe),COSINE SIMILARITY GLOVE,2
Cover,COVER,2
Coverage Rate,COVERAGE RATE,2
Cultural Bias Score,CULTURAL BIAS,2
Cultural Bias Score (CBS),CULTURAL BIAS CBS,2
D-1,D,2
D-score,D,2
DCR,DCR,2
DCRS,DCRS,2
DEAM,DEAM,2
DEB,DEB,2
DIRE,DIRE,2
DNSMOS,DNSMOS,2
DRFR,DRFR,2
DS,DS,2
DaRR,DARR,2
Decoding Time,DECODING TIME,2
Dependency Depth,DEPENDENCY DEPTH,2
Detail,DETAIL,2
Dialog Act Accuracy,DIALOG ACT ACCURACY,2
Dice,DICE,2
DiscoScore,DISCOSCORE,2
Distinct Ratio,DISTINCT RATIO,2
Distinct-4,DISTINCT,2
Diversity-2,DIVERSITY,2
DreamSim,DREAMSIM,2
EAD,EAD,2
EED,EED,2
EER,EER,2
ELBO,ELBO,2
EMT,EMT,2
EM_F1,EM F1,2
ENTR,ENTR,2
ENTScore,ENTSCORE,2
ES,ES,2
ESR,ESR,2
ESTIME,ESTIME,2
Early Answering,EARLY ANSWERING,2
Edge Precision,EDGE PRECISION,2
Edge Recall,EDGE RECALL,2
Edit Success,EDIT SUCCESS,2
Effective Reliability,EFFECTIVE RELIABILITY,2
EigenScore,EIGENSCORE,2
Elo Score,ELO,2
Emotion Accuracy,EMOTION ACCURACY,2
Engagingness,ENGAGINGNESS,2
Ent,ENT,2
Ent-4,ENT,2
Entail@1,ENTAIL,2
EntailR,ENTAIL,2
Entailment Ratio,ENTAILMENT RATIO,2
Entity Entropy,ENTITY ENTROPY,2
Error,ERROR,2
Exact Accuracy,EXACT ACCURACY,2
Exact Extraction Rate,EXACT EXTRACTION RATE,2
Exact Match F1,EXACT MATCH F1,2
Exact Match Rate,EXACT MATCH RATE,2
Exact String Match,EXACT STRING MATCH,2
Exact-Match,EXACT MATCH,2
ExactMatch,EXACT MATCH,2
Execution Score,EXECUTION,2
Existence Accuracy,EXISTENCE ACCURACY,2
Expected Wins (EW),EXPECTED WINS EW,2
Exposure,EXPOSURE,2
Exposure Rate,EXPOSURE RATE,2
Expression Accuracy,EXPRESSION ACCURACY,2
Extraction Likelihood,EXTRACTION LIKELIHOOD,2
F-value,F VALUE,2
F0,F0,2
F0 Frame Error,F0 FRAME ERROR,2
F1-SRR-BERT,F1 SRR BERT,2
F1@3,F1,2
FENSE,FENSE,2
FPR@90TPR,FPRTPR,2
FactGraph,FACTGRAPH,2
FactVC,FACTVC,2
Factual Accuracy,FACTUAL ACCURACY,2
Factual F1,FACTUAL F1,2
Factual Precision,FACTUAL PRECISION,2
Failure Rate (FR),FAILURE RATE FR,2
Failure rate,FAILURE RATE,2
FaithScore,FAITHSCORE,2
FeQA,FEQA,2
Filler Tokens,FILLER TOKENS,2
FineD-Eval,FINED EVAL,2
FineSurE,FINESURE,2
Fleiss Kappa,FLEISS KAPPA,2
Fleiss' kappa,FLEISS KAPPA,2
Fleiss' κ,FLEISS,2
Fleiss's Kappa,FLEISS KAPPA,2
Flesch Reading Ease (FRE),FLESCH READING EASE,2
Flesch-Kincaid Grade,FLESCH KINCAID GRADE,2
Flip rate,FLIP RATE,2
Formality,FORMALITY,2
Formality Score,FORMALITY,2
Fractional Extraction Rate,FRACTIONAL EXTRACTION RATE,2
Frame Accuracy,FRAME ACCURACY,2
Frequency Analysis,FREQUENCY ANALYSIS,2
FrugalScore,FRUGALSCORE,2
Fréchet Inception Distance,FR CHET INCEPTION DISTANCE,2
Fréchet Inception Distance (FID),FR CHET INCEPTION DISTANCE,2
Full Accuracy,FULL ACCURACY,2
Full Compliance Rate,FULL COMPLIANCE RATE,2
G-Mean,G,2
GA,GA,2
GAP,GAP,2
GLUE score,GLUE,2
GPQA,GPQA,2
GPT-2 perplexity,GPT 2 PERPLEXITY,2
GPT-4 Evaluation Score,GPT 4 EVALUATION,2
GPT-4 evaluation,GPT 4 EVALUATION,2
GPT-4 rating,GPT 4 RATING,2
GPT-4-Turbo,GPT 4 TURBO,2
GPT-4o rating,GPT 4 RATING,2
GPT-PPL,GPT PPL,2
GPT-score,GPT,2
GSM8K Accuracy,GSM8K ACCURACY,2
Generation Probability,GENERATION PROBABILITY,2
Generation Success,GENERATION SUCCESS,2
Gini Coefficient,GINI COEFFICIENT,2
Goal Accuracy,GOAL ACCURACY,2
Goal Completion Score,GOAL COMPLETION,2
Goal Condition Success Rate (GC),GOAL CONDITION SUCCESS RATE GC,2
Grammar Error Rate,GRAMMAR ERROR RATE,2
Grammar error,GRAMMAR ERROR,2
Grammarly score,GRAMMARLY,2
Grammaticality,GRAMMATICALITY,2
Gunning Fog Index,GUNNING FOG INDEX,2
Gunning-Fog Index,GUNNING FOG INDEX,2
H-score,H,2
HD-D,HD,2
HEQ,HEQ,2
HEQ-D,HEQ,2
HIT@10,HIT,2
HITS,HITS,2
HM,HM,2
HMean,HMEAN,2
HPSv2,HPSV2,2
HR@1,HR,2
HR@3,HR,2
HR@k,HR,2
HSR,HSR,2
Halluc,HALLUC,2
Hallucination Score,HALLUCINATION,2
Hallucination Vulnerability Index (HVI),HALLUCINATION VULNERABILITY INDEX HVI,2
HaluEval,HALUEVAL,2
Harmful Response Rate,HARMFUL RESPONSE RATE,2
Harmfulness score,HARMFULNESS,2
Harmlessness,HARMLESSNESS,2
Helpfulness Score,HELPFULNESS,2
Hit-Rate@k,HIT RATE,2
HitRate@k,HIT RATE,2
Hits@20,HITS,2
HolisticEval,HOLISTICEVAL,2
I-measure,I MEASURE,2
ICE-Score,ICE,2
IM,IM,2
INSTRUCTSCORE,INSTRUCTSCORE,2
ISR,ISR,2
ITF-IDF,ITF IDF,2
ImageReward,IMAGEREWARD,2
InKB Micro F1,INKB F1,2
Incorrect (IN),INCORRECT IN,2
Info,INFO,2
InfoMetIC,INFOMETIC,2
Information Diversity,INFORMATION DIVERSITY,2
InstructGPT-eval,INSTRUCTGPT EVAL,2
InstructScore,INSTRUCTSCORE,2
Item Ratio,ITEM RATIO,2
Jaccard Overlap,JACCARD OVERLAP,2
Jaccard index,JACCARD INDEX,2
K-means clustering,K MEANS CLUSTERING,2
KID,KID,2
KILT-Accuracy,KILT ACCURACY,2
KIWI,KIWI,2
KLD,KLD,2
KS-test,KS TEST,2
Kendall Correlation,KENDALL CORRELATION,2
Kendall Tau,KENDALL S TAU,2
Kendall correlation,KENDALL CORRELATION,2
Kendall rank correlation coefficient,KENDALL RANK CORRELATION COEFFICIENT,2
Key Point Recall,KEY POINT RECALL,2
Knowledge-F1,KNOWLEDGE F1,2
L1 Distance,L1 DISTANCE,2
L2 norm,L2 NORM,2
LF-EM,LF EM,2
LID,LID,2
LLM Judge,LLM JUDGE,2
LLM-Eval,LLM EVAL,2
LLM-as-a-judge score,LLM AS A JUDGE,2
LLM-based evaluation,LLM BASED EVALUATION,2
LLM-based metrics,LLM BASED METRICS,2
LM Calls,LM CALLS,2
LM Score,LM,2
LS,LS,2
LS Score,LS,2
LSE-C,LSE,2
LSE-D,LSE,2
Label Flip Rate,LABEL FLIP RATE,2
LanguageTool,LANGUAGETOOL,2
Length Bias,LENGTH BIAS,2
Length-Adaptive Average Lagging,LENGTH ADAPTIVE LAGGING,2
Length-Adaptive Average Lagging (LAAL),LENGTH ADAPTIVE LAGGING,2
Length-controlled win rate,LENGTH CONTROLLED WIN RATE,2
Levenshtein similarity,LEVENSHTEIN SIMILARITY,2
Literal Similarity,LITERAL SIMILARITY,2
Log Likelihood,LOG LIKELIHOOD,2
Log-Likelihood,LOG LIKELIHOOD,2
Logit difference,LOGIT DIFFERENCE,2
LongBench score,LONGBENCH,2
MACCS,MACCS,2
MAP@5,MAP,2
MBPP,MBPP,2
MDD-Eval,MDD EVAL,2
MEDCON,MEDCON,2
MER,MER,2
MFS,MFS,2
MGSM,MGSM,2
MI,MI,2
MINT,MINT,2
MMAE,MMAE,2
MMBench,MMBENCH,2
MME Score,MME,2
MMLU Accuracy,MMLU ACCURACY,2
MMStar,MMSTAR,2
MMVet,MM VET,2
MNLI,MNLI,2
MR,MR,2
MRecall@k,MRECALL,2
MT Bench,MT BENCH,2
MT-bench score,MT BENCH,2
MUSE,MUSE,2
MaUdE,MAUDE,2
MaUde,MAUDE,2
Macro Accuracy,ACCURACY,2
Macro Average F1,F1,2
Macro F1 Score,F1,2
Mahalanobis Distance,MAHALANOBIS DISTANCE,2
Matching Score,MATCHING,2
MathVista,MATHVISTA,2
Max Toxicity,MAX TOXICITY,2
McNemar's test,MCNEMAR S TEST,2
Mean Absolute Error (MAE),ABSOLUTE ERROR MAE,2
Mean Opinion Score (MOS),OPINION MOS,2
Mean Segmental Type-Token Ratio,SEGMENTAL TYPE TOKEN RATIO,2
Mean Squared Error (MSE),SQUARED ERROR MSE,2
Median Rank,MEDIAN RANK,2
Mel Cepstral Distortion,MEL CEPSTRAL DISTORTION,2
Memorization Rate,MEMORIZATION RATIO,2
MetricX-23-QE,METRICX 23 QE,2
MetricX-23-XL,METRICX 23 XL,2
Micro Precision,PRECISION,2
Micro Recall,RECALL,2
Micro-Precision,PRECISION,2
Micro-Recall,RECALL,2
Minimum Accuracy,MINIMUM ACCURACY,2
Minimum Edit Distance,MINIMUM EDIT DISTANCE,2
Minimum Matching Distance,MINIMUM MATCHING DISTANCE,2
Modification Rate,MODIFICATION RATE,2
Morgan,MORGAN,2
Mover-Score,MOVER,2
Multiple Choice Accuracy,MULTIPLE CHOICE ACCURACY,2
Mutual Information (MI),MUTUAL INFORMATION,2
M² Scorer,M SCORER,2
N-gram Diversity,N GRAM DIVERSITY,2
NE-CER,NE CER,2
NEER,NEER,2
NER-Overlap,NER OVERLAP,2
NISQA,NISQA,2
NLI-based,NLI BASED,2
NOVELTY,NOVELTY,2
NSP,NSP,2
NUBIA,NUBIA,2
Named Entity Recognition,NAMED ENTITY RECOGNITION,2
Navigation Error,NAVIGATION ERROR,2
Negative Log Likelihood,NEGATIVE LOG LIKELIHOOD,2
Neutrality,NEUTRALITY,2
Normalized Levenshtein distance,NORMALIZED LEVENSHTEIN DISTANCE,2
Normalized Mean Square Error,NORMALIZED SQUARE ERROR,2
Novel,NOVEL,2
NudeNet,NUDENET,2
OCR Accuracy,OCR ACCURACY,2
OCR accuracy,OCR ACCURACY,2
Odds Ratio,ODDS RATIO,2
Open LLM Leaderboard,OPEN LLM LEADERBOARD,2
OpenIE,OPENIE,2
Oracle,ORACLE,2
Oracle Success Rate,ORACLE SUCCESS RATE,2
Overall Score,OVERALL,2
Overconfidence,OVERCONFIDENCE,2
P-Co,P CO,2
P-score,P,2
P@5,P,2
P@k,P,2
PC,PC,2
PCA,PCA,2
PEDANTS,PEDANTS,2
PMI,PMI,2
POPE F1,POPE F1,2
PRR,PRR,2
PSR,PSR,2
Pairwise Win Rate,PAIRWISE WIN RATE,2
Paraphrasing,PARAPHRASING,2
Partial Refusal Rate,PARTIAL REFUSAL RATE,2
Pass@5,PASS,2
Pass@N,PASS@N,2
Path F1,PATH F1,2
Pearson coefficient,PEARSON COEFFICIENT,2
Percentage of unsafe responses,PERCENTAGE OF UNSAFE RESPONSES,2
Perception Score,PERCEPTION,2
Perfect Match Ratio,PERFECT MATCH RATIO,2
Perfect Rate,PERFECT RATE,2
Performance Gap Recovered (PGR),PERFORMANCE GAP RECOVERED PGR,2
Performance Score,PERFORMANCE,2
PerspectiveAPI,PERSPECTIVE API,2
Persuasiveness,PERSUASIVENESS,2
Pk,PK,2
Pointwise Mutual Information,POINTWISE MUTUAL INFORMATION,2
Politeness,POLITENESS,2
Polos,POLOS,2
Positivity,POSITIVITY,2
Precision@20,PRECISION,2
Precision@3,PRECISION,2
Prediction Accuracy,PREDICTION ACCURACY,2
Preference Rate,PREFERENCE RATE,2
Proactivity,PROACTIVITY,2
Probability Ratio,PROBABILITY RATIO,2
Progress,PROGRESS,2
Prometheus-2,PROMETHEUS,2
Proof Accuracy,PROOF ACCURACY,2
Proof Correctness,PROOF CORRECTNESS,2
Proof F1,PROOF F1,2
Q,Q,2
QA accuracy,QA ACCURACY,2
QA-F1,QA F1,2
QM,QM,2
QSTS,QSTS,2
QUESTEVAL,QUESTEVAL,2
Query Number,QUERY NUMBER,2
R10@1,R10,2
R10@2,R10,2
R10@5,R10,2
R@100,R,2
R@50,R,2
RA,RA,2
RAGAS,RAGAS,2
RANK,RANK,2
RC,RC,2
RDK,RDK,2
RE Accuracy,RE ACCURACY,2
REV,REV,2
RIBES,RIBES,2
ROUGE-1,ROUGE,2
ROUGE-WE,ROUGE WE,2
RQ,RQ,2
RSE,RSE,2
RTE,RTE,2
RUBY,RUBY,2
RUSE,RUSE,2
RadGraph,RADGRAPH,2
RadGraph F1,RADGRAPH F1,2
RankGen,RANKGEN,2
ReCEval,RECEVAL,2
Recall@3,RECALL,2
RefPAC-S,REFPAC,2
Reference Coverage,REFERENCE COVERAGE,2
Regex Matching,REGEX MATCHING,2
Relation Generation (RG),RELATION GENERATION,2
Relative Error,RELATIVE ERROR,2
Relative Gain,RELATIVE GAIN,2
Relative Probability,RELATIVE PROBABILITY,2
Relaxed Exact Match,RELAXED EXACT MATCH,2
Relaxed Match,RELAXED MATCH,2
Reliable Accuracy,RELIABLE ACCURACY,2
Rep,REP,2
Repetition Rate (RR),REPETITION RATE,2
Repetitions,REPETITION,2
Response Selection Accuracy,RESPONSE SELECTION ACCURACY,2
Response Time,RESPONSE TIME,2
Retrieval Accuracy,RETRIEVAL ACCURACY,2
Reward Margin,REWARD MARGIN,2
Reward Model Scores,REWARD MODEL SCORES,2
RewardBench score,REWARDBENCH,2
Rhyme Accuracy,RHYME ACCURACY,2
Running time,RUNNING TIME,2
SACREBLEU,SACREBLEU,2
SAFE,SAFE,2
SAMSA,SAMSA,2
SCA,SCA,2
SEM-F1,SEM F1,2
SEScore2,SESCORE2,2
SI-SDR,SI SDR,2
SLOR,SLOR,2
SP-ROUGE,SP ROUGE,2
SPA,SPA,2
SPURTS,SPURTS,2
STA,STA,2
STEDS,STEDS,2
Safe Rate,SAFETY RATE,2
Safety,SAFETY,2
Sale-to-List Ratio (SL),SALE TO LIST RATIO SL,2
Scribendi Score,SCRIBENDI,2
Self-BERTScore,SELF BERTSCORE,2
Self-ROUGE,SELF ROUGE,2
Self-enhancement Bias,SELF ENHANCEMENT BIAS,2
SelfBLEU,SELF BLEU,2
SelfCheckGPT,SELFCHECKGPT,2
Semantic Accuracy,SEMANTIC ACCURACY,2
Semantic Correctness,SEMANTIC CORRECTNESS,2
Semantic Diversity,SEMANTIC DIVERSITY,2
Semantic Error Rate,SEMANTIC ERROR RATE,2
Semantic Repetition,SEMANTIC REPETITION,2
SentSim,SENTSIM,2
Sentence Count,SENTENCE COUNT,2
Sentence-BERT cosine similarity,SENTENCE BERT COSINE SIMILARITY,2
Sentiment Accuracy,SENTIMENT ACCURACY,2
Sentiment Polarity,SENTIMENT POLARITY,2
Sentiment accuracy,SENTIMENT ACCURACY,2
Seq-Logprob,SEQ LOGPROB,2
SigLIP,SIGLIP,2
Silhouette Score,SILHOUETTE,2
Similarity Score,SIMILARITY,2
Slot Error Rate (SER),SLOT ERROR RATE SER,2
Soft-F1,SOFT F1,2
Soft-Precision,SOFT PRECISION,2
Soft-Recall,SOFT RECALL,2
Solvability,SOLVABILITY,2
Spearman correlation coefficient,SPEARMAN S RANK CORRELATION COEFFICIENT,2
Spearman ρ,SPEARMAN,2
Spearman's Correlation,SPEARMAN CORRELATION,2
Standard deviation,STANDARD DEVIATION,2
Statistical Significance,STATISTICAL SIGNIFICANCE,2
Step Correctness,STEP CORRECTNESS,2
Steps,STEPS,2
Stereotype Score,STEREOTYPE,2
Stereotype Score (SS),STEREOTYPE SS,2
String Matching,STRING MATCHING,2
String matching,STRING MATCHING,2
Style Accuracy (ACC),STYLE ACCURACY ACC,2
Style classification accuracy,STYLE CLASSIFICATION ACCURACY,2
SubER,SUBER,2
Success Ratio,SUCCESS RATIO,2
Success@k,SUCCESS,2
Support Score,SUPPORT,2
Syntax Accuracy,SYNTAX ACCURACY,2
TA,TA,2
TAPEX-Acc,TAPEX ACC,2
TF-IDF similarity,TF IDF SIMILARITY,2
TIGEr,TIGER,2
TNR,TNR,2
TRS,TRS,2
TRUE,TRUE,2
TSE,TSE,2
TSS,TSS,2
Target Success Rate,TARGET SUCCESS RATE,2
Technical Score,TECHNICAL,2
Template Accuracy,TEMPLATE ACCURACY,2
Term Usage Rate,TERM USAGE RATE,2
Text Accuracy,TEST ACCURACY,2
TextVQA,TEXTVQA,2
Themis,THEMIS,2
Tie Rate,TIE RATE,2
Token Cost,TOKEN COST,2
Token Overlap,TOKEN OVERLAP,2
Token Recall,TOKEN RECALL,2
Token-wise F1,TOKEN WISE F1,2
Top-1,TOP,2
Top-10 Accuracy,TOP 1 ACCURACY,2
Top-3 Accuracy,TOP 1 ACCURACY,2
Top-K,TOP,2
Top-K Accuracy,TOP 1 ACCURACY,2
Top-k Accuracy,TOP 1 ACCURACY,2
Toxic Fraction,TOXIC FRACTION,2
Toxic Rate,TOXIC RATE,2
Toxicity Rate,TOXICITY RATE,2
Toxicity Score (Perspective API),TOXICITY PERSPECTIVE API,2
Toxicity score,TOXICITY,2
Tree Edit Distance (TED),TREE EDIT DISTANCE,2
True Negative Rate,TRUE NEGATIVE RATE,2
UAS,UAS,2
UNIEVAL,UNIEVAL,2
USER,USER,2
UT-MOS,UTMOS,2
Unigram F1,UNIGRAM F1,2
Unigram Overlap,UNIGRAM OVERLAP,2
Uniq,UNIQ,2
Unique,UNIQUE,2
Universal Sentence Encoder,UNIVERSAL SENTENCE ENCODER,2
Utility Score,UTILITY,2
VERT,VERT,2
VES,VES,2
VIEScore,VIESCORE,2
Valid Efficiency Score,VALID EFFICIENCY,2
Value Accuracy,VALUE ACCURACY,2
Value Coverage,VALUE COVERAGE,2
Verb Recall,VERB RECALL,2
VeriScore,VERISCORE,2
Verification Accuracy,VERIFICATION ACCURACY,2
ViLBERTScore,VILBERTSCORE,2
VisualGPTScore,VISUALGPTSCORE,2
Vocabulary Size,VOCABULARY SIZE,2
WEAT,WEAT,2
WIL,WIL,2
Wasserstein distance,WASSERSTEIN DISTANCE,2
Weak Flip Rate,WEAK FLIP RATE,2
Weighted Average Accuracy,ACCURACY,2
Weighted F1-score,F1,2
Weighted-F1,F1,2
Wilcoxon signed-rank test,WILCOXON SIGNED RANK TEST,2
Win Ratio,WIN RATIO,2
